100% labeled data:
[I 2024-05-21 20:29:04,603] A new study created in memory with name: no-name-0129a376-ad7f-4a9b-80a7-575a77b6d445
[I 2024-05-21 20:41:01,273] Trial 0 finished with value: 0.938858687877655 and parameters: {'batch_size_exp': 3, 'last_layer_lr_exp': -3.907747328938958, 'last_layer_weight_decay_exp': -2.6246769827867724, 'second_last_layer_unfreeze_epoch': 7, 'second_last_layer_lr_exp': -1.6481443454359614, 'second_last_layer_weight_decay_exp': -4.842880574837349, 'third_last_layer_unfreeze_epoch': 15, 'third_last_layer_lr_exp': -3.8307695273905265, 'third_last_layer_weight_decay_exp': -1.6551684515217397}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 20:47:26,334] Trial 1 finished with value: 0.9239130616188049 and parameters: {'batch_size_exp': 4, 'last_layer_lr_exp': -2.1058037130842764, 'last_layer_weight_decay_exp': -3.854166582014524, 'second_last_layer_unfreeze_epoch': 10, 'second_last_layer_lr_exp': -1.8537273234250855, 'second_last_layer_weight_decay_exp': -4.3302543194120195, 'third_last_layer_unfreeze_epoch': 13, 'third_last_layer_lr_exp': -2.9306720741580867, 'third_last_layer_weight_decay_exp': -1.696242407870396}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 20:54:27,709] Trial 2 finished with value: 0.9116848111152649 and parameters: {'batch_size_exp': 5, 'last_layer_lr_exp': -3.9187746289322494, 'last_layer_weight_decay_exp': -3.042007018266636, 'second_last_layer_unfreeze_epoch': 6, 'second_last_layer_lr_exp': -1.0991426701122973, 'second_last_layer_weight_decay_exp': -4.388028703068797, 'third_last_layer_unfreeze_epoch': 12, 'third_last_layer_lr_exp': -1.0230121553573759, 'third_last_layer_weight_decay_exp': -2.358590450240902}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:00:34,223] Trial 3 finished with value: 0.9307065606117249 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -2.6751978895552853, 'last_layer_weight_decay_exp': -2.755560609310449, 'second_last_layer_unfreeze_epoch': 8, 'second_last_layer_lr_exp': -4.789808285306906, 'second_last_layer_weight_decay_exp': -4.185131504460757, 'third_last_layer_unfreeze_epoch': 11, 'third_last_layer_lr_exp': -2.7929001261334125, 'third_last_layer_weight_decay_exp': -2.082439129773827}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:06:42,337] Trial 4 finished with value: 0.917119562625885 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -2.228855404474123, 'last_layer_weight_decay_exp': -2.382008242690776, 'second_last_layer_unfreeze_epoch': 6, 'second_last_layer_lr_exp': -4.435927682291055, 'second_last_layer_weight_decay_exp': -1.0606935803884068, 'third_last_layer_unfreeze_epoch': 12, 'third_last_layer_lr_exp': -3.3902464578876943, 'third_last_layer_weight_decay_exp': -4.899364572991097}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:12:52,851] Trial 5 finished with value: 0.9293478727340698 and parameters: {'batch_size_exp': 3, 'last_layer_lr_exp': -3.3726431008176894, 'last_layer_weight_decay_exp': -2.778405539440065, 'second_last_layer_unfreeze_epoch': 10, 'second_last_layer_lr_exp': -1.4432774910904684, 'second_last_layer_weight_decay_exp': -1.6205218775401433, 'third_last_layer_unfreeze_epoch': 14, 'third_last_layer_lr_exp': -4.608543353066006, 'third_last_layer_weight_decay_exp': -2.328256840429527}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:19:38,815] Trial 6 finished with value: 0.9334239363670349 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -3.4120933063137224, 'last_layer_weight_decay_exp': -3.467699548562674, 'second_last_layer_unfreeze_epoch': 4, 'second_last_layer_lr_exp': -4.237602243221778, 'second_last_layer_weight_decay_exp': -1.5047254722139605, 'third_last_layer_unfreeze_epoch': 13, 'third_last_layer_lr_exp': -2.9547700511736887, 'third_last_layer_weight_decay_exp': -2.3470183290859885}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:29:10,816] Trial 7 finished with value: 0.936141312122345 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -2.4980379918846474, 'last_layer_weight_decay_exp': -2.071980225203914, 'second_last_layer_unfreeze_epoch': 6, 'second_last_layer_lr_exp': -1.2590894898908438, 'second_last_layer_weight_decay_exp': -3.3496949147159167, 'third_last_layer_unfreeze_epoch': 15, 'third_last_layer_lr_exp': -2.5632914917735214, 'third_last_layer_weight_decay_exp': -4.336003020592496}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:33:10,263] Trial 8 finished with value: 0.904891312122345 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -2.236522928745752, 'last_layer_weight_decay_exp': -2.221061867362544, 'second_last_layer_unfreeze_epoch': 10, 'second_last_layer_lr_exp': -1.074706142479478, 'second_last_layer_weight_decay_exp': -4.241225029930483, 'third_last_layer_unfreeze_epoch': 10, 'third_last_layer_lr_exp': -2.2267425293112946, 'third_last_layer_weight_decay_exp': -1.594219614321581}. Best is trial 0 with value: 0.938858687877655.
[I 2024-05-21 21:43:16,721] Trial 9 finished with value: 0.9402174353599548 and parameters: {'batch_size_exp': 7, 'last_layer_lr_exp': -2.781121861971081, 'last_layer_weight_decay_exp': -3.22137631947893, 'second_last_layer_unfreeze_epoch': 1, 'second_last_layer_lr_exp': -1.4337766863916932, 'second_last_layer_weight_decay_exp': -1.4781893538866644, 'third_last_layer_unfreeze_epoch': 10, 'third_last_layer_lr_exp': -3.623827191239789, 'third_last_layer_weight_decay_exp': -3.8984309933088444}. Best is trial 9 with value: 0.9402174353599548.
[I 2024-05-21 21:52:13,728] Trial 10 finished with value: 0.94972825050354 and parameters: {'batch_size_exp': 5, 'last_layer_lr_exp': -3.029599166604176, 'last_layer_weight_decay_exp': -3.3260571689673757, 'second_last_layer_unfreeze_epoch': 1, 'second_last_layer_lr_exp': -2.6556795609913717, 'second_last_layer_weight_decay_exp': -2.431330678343722, 'third_last_layer_unfreeze_epoch': 5, 'third_last_layer_lr_exp': -4.560221648830845, 'third_last_layer_weight_decay_exp': -3.5738029068807817}. Best is trial 10 with value: 0.94972825050354.
